ResearcherID,RecordID,LocationID,Please enter your current Workstation ID.,,"How long have you been in your office without leaving? (e.g., since taking a break or going to the bathroom) ",How many people are currently present in your office room?,What level of clothing best describes how you are currently dressed?,How would you rate your current mood?,"In this moment, how productive do you feel?","Please, rate your current thermal sensation:","In this moment, how satisfied or dissatisfied are you with the thermal environment?","In this moment, how satisfied or dissatisfied are you with the indoor air quality?","Please, rate the current office air quality:",Edible Food,Rotten Food,Cleaning products,Stationery,Green elements,Body odours,Other (please specify),pleasant,present,light,engaging,unpleasant,absent,overpowering,detached,natural,artificial,"In this moment, how satisfied or dissatisfied are you with the acoustic environment?"
Giulia,Unipi_06,Pisa,D3.1.21.01,,31-60 minutes,3,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Slightly unproductive,Warm,Slightly dissatisfied,Neither satisfied nor dissatisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,3,3,3,3,3,3,3,Neither satisfied nor dissatisfied
Giulia,Eurac_13,Bolzano,D3.1.21.04,,3-30 minutes,3,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Slightly unproductive,Warm,Slightly satisfied,Neither satisfied nor dissatisfied,Neutral,0 Not available,0 Not available,1 Not at all,1 Not at all,1 Not at all,2,,3,2,4,1,1,3,1,2,2,3,Satisfied
Giulia,Eurac_03,Bolzano,D3.1.21.03,,3-30 minutes,2,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Productive,Warm,Slightly dissatisfied,Satisfied,Slightly fresh,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,1,3,1,1,3,1,1,3,3,Slightly dissatisfied
Giulia,Unipi_07,Pisa,Other (please specify),Ufficio DDV,61-120 minutes,3,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Productive,Slightly cool,Neither satisfied nor dissatisfied,Slightly satisfied,Slightly fresh,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,4,3,4,2,2,2,2,2,3,3,Slightly satisfied
Giulia,Unipi_07,Pisa,Other (please specify),Ufficio DDV,31-60 minutes,2,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Productive,Slightly cool,Slightly dissatisfied,Slightly satisfied,Slightly fresh,1 Not at all,1 Not at all,1 Not at all,2,1 Not at all,1 Not at all,,4,3,3,2,2,3,2,2,3,3,Slightly satisfied
Giulia,Eurac_13,Bolzano,D3.1.21.04,,3-30 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Neither unproductive nor productive,Neutral,Very satisfied,Satisfied,Slightly fresh,0 Not available,0 Not available,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,4,3,4,2,1,3,1,2,3,2,Very satisfied
Giulia,Unipi_07,Pisa,Other (please specify),Ufficio DDV,3-30 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Productive,Slightly warm,Slightly dissatisfied,Slightly satisfied,Slightly fresh,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,4,3,4,3,2,3,2,2,3,2,Slightly satisfied
Giulia,Unipi_07,Pisa,Other (please specify),Ufficio DDV,3-30 minutes,2,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Slighlty productive,Neutral,Slightly satisfied,Satisfied,Slightly fresh,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,4,3,4,2,2,2,2,2,4,2,Slightly satisfied
Giulia,Unipi_02,Pisa,Other (please specify),Lab TEA,61-120 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Very productive,Neutral,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Slightly stale,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,2,,2,3,2,2,3,2,2,2,2,3,Slightly satisfied
Giulia,Unipi_01,Pisa,Other (please specify),Lab TEA,61-120 minutes,2,"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Neutral,Slighlty productive,Neutral,Satisfied,Slightly dissatisfied,Slightly stale,0 Not available,0 Not available,0 Not available,4,0 Not available,0 Not available,,2,4,2,2,3,2,3,3,1,4,Satisfied
Giulia,Unipi_02,Pisa,Other (please specify),Lab TEA,31-60 minutes,2,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Productive,Neutral,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,2,,2,3,2,2,3,2,2,2,3,3,Slightly satisfied
Giulia,Unipi_01,Pisa,Other (please specify),Lab TEA,61-120 minutes,1 (just me),"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Neutral,Neither unproductive nor productive,Neutral,Satisfied,Neither satisfied nor dissatisfied,Neutral,0 Not available,0 Not available,0 Not available,0 Not available,0 Not available,0 Not available,,2,3,3,3,4,4,2,3,1,4,Slightly satisfied
Giulia,Unipi_02,Pisa,Other (please specify),Lab TEA,3-30 minutes,2,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Slighlty productive,Neutral,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Slightly stale,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,2,,2,4,2,2,3,2,2,2,2,2,Slightly satisfied
Giulia,Unipi_01,Pisa,Other (please specify),Lab TEA,3-30 minutes,1 (just me),"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Neutral,Slightly unproductive,Slightly warm,Slightly dissatisfied,Slightly satisfied,Slightly stale,0 Not available,0 Not available,0 Not available,3,0 Not available,0 Not available,,1,4,3,2,3,2,3,3,1,4,Slightly satisfied
Giulia,Unipi_02,Pisa,Other (please specify),Lab TEA,31-60 minutes,2,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Slightly unproductive,Neutral,Neither satisfied nor dissatisfied,Slightly dissatisfied,Slightly stale,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,2,3,2,2,2,3,2,3,2,3,Slightly dissatisfied
Giulia,Unipi_01,Pisa,Other (please specify),Lab TEA,31-60 minutes,2,"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Neutral,Slightly unproductive,Neutral,Slightly satisfied,Satisfied,Neutral,0 Not available,0 Not available,0 Not available,0 Not available,0 Not available,0 Not available,,2,2,3,2,2,4,2,3,2,4,Slightly dissatisfied
Giulia,Unipi_01,Pisa,Other (please specify),Lab TEA,3-30 minutes,2,"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Neutral,Slighlty productive,Neutral,Very satisfied,Neither satisfied nor dissatisfied,Slightly stale,0 Not available,0 Not available,0 Not available,3,0 Not available,0 Not available,,2,4,2,2,3,2,2,3,1,3,Slightly satisfied
Giulia,Unipi_01,Pisa,Other (please specify),Lab TEA,61-120 minutes,2,"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Good,Slighlty productive,Neutral,Slightly satisfied,Slightly satisfied,Neutral,0 Not available,0 Not available,0 Not available,0 Not available,0 Not available,0 Not available,,3,3,3,3,3,3,3,3,3,3,Slightly satisfied
Giulia,Unipi_01,Pisa,Other (please specify),Lab TEA,3-30 minutes,2,"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Bad,Neither unproductive nor productive,Neutral,Very satisfied,Neither satisfied nor dissatisfied,Neutral,0 Not available,0 Not available,0 Not available,0 Not available,0 Not available,0 Not available,,3,3,3,3,3,3,3,3,3,3,Slightly satisfied
Giulia,Unipi_01,Pisa,Other (please specify),Lab TEA,31-60 minutes,2,"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Neutral,Slightly unproductive,Neutral,Satisfied,Satisfied,Neutral,0 Not available,0 Not available,0 Not available,2,0 Not available,0 Not available,,3,3,3,2,2,3,3,3,2,4,Slightly dissatisfied
Giulia,Unipi_02,Pisa,Other (please specify),Lab TEA,More than 2 hours,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Productive,Slightly cool,Slightly dissatisfied,Neither satisfied nor dissatisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,2,3,2,2,2,3,2,3,2,3,Neither satisfied nor dissatisfied
Giulia,Eurac_13,Bolzano,D3.1.21.04,,Less than 3 minutes,1 (just me),"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Neutral,Productive,Neutral,Very satisfied,Neither satisfied nor dissatisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,2,,2,2,4,1,1,3,1,2,3,2,Slightly satisfied
Giulia,Unipi_02,Pisa,Other (please specify),Lab TEA,61-120 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Slighlty productive,Slightly cool,Slightly dissatisfied,Slightly satisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,2,2,3,2,2,2,3,Slightly satisfied
Giulia,Unipi_02,Pisa,Other (please specify),Lab TEA,61-120 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Slighlty productive,Slightly cool,Slightly dissatisfied,Slightly satisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,2,3,2,2,3,2,3,2,3,Slightly satisfied
Giulia,Eurac_13,Bolzano,D3.1.21.04,,31-60 minutes,2,"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Neutral,Productive,Slightly warm,Very satisfied,Neither satisfied nor dissatisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,2,,2,2,3,1,3,3,1,1,1,2,Satisfied
Giulia,Unipi_02,Pisa,Other (please specify),Lab TEA,31-60 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Productive,Slightly cool,Slightly dissatisfied,Slightly satisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,2,2,3,2,2,2,3,Slightly satisfied
Giulia,Unipi_02,Pisa,Other (please specify),Lab TEA,3-30 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Very productive,Neutral,Neither satisfied nor dissatisfied,Slightly satisfied,Neutral,2,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,2,2,3,2,3,3,3,Slightly satisfied
Giulia,Eurac_13,Bolzano,D3.1.21.04,,3-30 minutes,2,"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Good,Unproductive,Slightly warm,Very satisfied,Satisfied,Neutral,0 Not available,0 Not available,1 Not at all,1 Not at all,1 Not at all,2,,3,2,4,1,1,3,1,2,1,1,Very satisfied
Giulia,Unipi_02,Pisa,Other (please specify),Lab TEA,61-120 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Very productive,Slightly cool,Slightly dissatisfied,Slightly satisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,2,2,3,2,2,4,2,3,2,3,Slightly satisfied
Giulia,Eurac_13,Bolzano,D3.1.21.04,,3-30 minutes,1 (just me),"Light (e.g., panties, t-shirt, shorts, light socks, sandals)",Good,Slightly unproductive,Neutral,Very satisfied,Satisfied,Neutral,0 Not available,0 Not available,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,2,4,1,1,3,1,2,3,3,Very satisfied
Giulia,Unipi_02,Pisa,Other (please specify),Lab TEA,61-120 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Very productive,Slightly cool,Slightly dissatisfied,Slightly satisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,2,4,2,2,3,2,3,2,3,Slightly satisfied
Giulia,Unipi_02,Pisa,Other (please specify),Lab TEA,31-60 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Productive,Slightly cool,Slightly satisfied,Slightly satisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,2,4,2,2,3,2,3,2,2,Slightly satisfied
Giulia,Eurac_03,Bolzano,D3.1.21.03,,Less than 3 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Productive,Slightly warm,Slightly satisfied,Satisfied,Slightly fresh,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,1,3,1,1,3,1,1,3,3,Satisfied
Giulia,Unipa_16,Pisa,Other (please specify),Destec pisa,31-60 minutes,3,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Slightly unproductive,Slightly cool,Neither satisfied nor dissatisfied,Slightly dissatisfied,Slightly stale,0 Not available,0 Not available,0 Not available,0 Not available,0 Not available,1 Not at all,,3,3,3,3,3,3,3,3,3,3,Dissatisfied
Giulia,Unipi_06,Pisa,D3.1.21.01,,31-60 minutes,3,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Slighlty productive,Slightly warm,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,3,3,3,3,3,3,3,Neither satisfied nor dissatisfied
Giulia,Eurac_05,Bolzano,D3.1.13b.02,,More than 2 hours,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Neither unproductive nor productive,Neutral,Neither satisfied nor dissatisfied,Slightly satisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,4,3,3,3,2,3,3,3,3,3,Slightly satisfied
Giulia,Unipi_16,Pisa,Other (please specify),Destec pisa,31-60 minutes,3,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Slighlty productive,Slightly cool,Neither satisfied nor dissatisfied,Slightly dissatisfied,Slightly stale,0 Not available,0 Not available,0 Not available,0 Not available,0 Not available,1 Not at all,,3,3,3,3,3,3,3,3,3,3,Dissatisfied
Giulia,Unipi_06,Pisa,D3.1.21.01,,31-60 minutes,3,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Slighlty productive,Slightly warm,Slightly satisfied,Neither satisfied nor dissatisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,3,3,3,3,3,3,3,Slightly dissatisfied
Giulia,Unipi_16,Pisa,Other (please specify),Destec pisa,31-60 minutes,3,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Slighlty productive,Slightly cool,Slightly satisfied,Slightly dissatisfied,Slightly stale,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,3,3,3,3,3,3,3,Slightly dissatisfied
Giulia,Unipi_06,Pisa,D3.1.21.01,,31-60 minutes,3,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Slighlty productive,Neutral,Slightly satisfied,Neither satisfied nor dissatisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,3,3,3,3,3,3,3,Neither satisfied nor dissatisfied
Giulia,Eurac_03,Bolzano,D3.1.21.03,,61-120 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Productive,Neutral,Neither satisfied nor dissatisfied,Satisfied,Slightly fresh,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,1,3,1,1,3,1,1,3,3,Satisfied
Giulia,Eurac_03,Bolzano,D3.1.21.03,,61-120 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Good,Productive,Neutral,Neither satisfied nor dissatisfied,Satisfied,Slightly fresh,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,1,3,1,1,3,1,1,3,3,Satisfied
Giulia,Unipi_06,Pisa,D3.1.21.01,,31-60 minutes,3,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Slighlty productive,Neutral,Slightly satisfied,Neither satisfied nor dissatisfied,Neutral,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,3,3,3,3,3,3,3,Slightly satisfied
Giulia,Unipi_16,Pisa,Other (please specify),Pisa destec,31-60 minutes,3,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Slighlty productive,Slightly cool,Slightly dissatisfied,Slightly dissatisfied,Slightly stale,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,3,3,3,3,3,3,3,Slightly dissatisfied
Giulia,Eurac_05,Bolzano,D3.1.13b.02,,3-30 minutes,2,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Slighlty productive,Neutral,Neither satisfied nor dissatisfied,Slightly satisfied,Slightly fresh,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,4,3,3,3,2,3,3,3,3,3,Slightly satisfied
Giulia,Eurac_13,Bolzano,D3.1.21.04,,3-30 minutes,2,"Heavy (e.g., underwear, shirt, trousers, socks, shoes)",Good,Slighlty productive,Slightly warm,Very satisfied,Satisfied,Slightly fresh,0 Not available,0 Not available,1 Not at all,1 Not at all,1 Not at all,2,,2,3,3,1,2,3,1,2,1,1,Slightly satisfied
Giulia,Unipi_12,Pisa,Other (please specify),Palazzina fisica tecnica,More than 2 hours,2,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Neither unproductive nor productive,Neutral,Satisfied,Slightly satisfied,Neutral,1 Not at all,1 Not at all,2,1 Not at all,1 Not at all,1 Not at all,,3,3,3,3,2,3,3,3,3,4,Neither satisfied nor dissatisfied
Giulia,Unipi_12,Pisa,Other (please specify),Palazzina fisica tecnica,61-120 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Productive,Neutral,Satisfied,Neither satisfied nor dissatisfied,Slightly stale,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,2,4,3,2,3,2,2,3,3,3,Slightly satisfied
Giulia,Unipi_12,Pisa,Other (please specify),Palazzina fisica tecnica,61-120 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Productive,Neutral,Slightly satisfied,Slightly satisfied,Neutral,1 Not at all,1 Not at all,2,1 Not at all,1 Not at all,1 Not at all,,3,3,3,3,2,4,3,3,2,4,Neither satisfied nor dissatisfied
Giulia,Eurac_13,Bolzano,D3.1.21.04,,31-60 minutes,2,"Heavy (e.g., underwear, shirt, trousers, socks, shoes)",Good,Very productive,Neutral,Satisfied,Neither satisfied nor dissatisfied,Slightly stale,0 Not available,0 Not available,1 Not at all,1 Not at all,1 Not at all,3,,3,4,2,1,2,2,1,1,1,1,Satisfied
Giulia,Unipi_12,Pisa,Other (please specify),Palazzina fisica tecnica,31-60 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Productive,Neutral,Satisfied,Slightly satisfied,Neutral,1 Not at all,1 Not at all,2,1 Not at all,1 Not at all,1 Not at all,,4,4,3,3,2,2,3,3,2,4,Neither satisfied nor dissatisfied
Giulia,Eurac_13,Bolzano,D3.1.21.04,,31-60 minutes,2,"Heavy (e.g., underwear, shirt, trousers, socks, shoes)",Good,Productive,Slightly warm,Very satisfied,Slightly satisfied,Slightly stale,0 Not available,0 Not available,1 Not at all,1 Not at all,1 Not at all,2,,2,4,2,4,4,2,2,1,1,1,Satisfied
Giulia,Eurac_03,Bolzano,D3.1.21.03,,Less than 3 minutes,1 (just me),"Heavy (e.g., underwear, shirt, trousers, socks, shoes)",Good,Productive,Slightly warm,Slightly dissatisfied,Satisfied,Slightly fresh,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,1,3,1,1,3,1,1,3,3,Dissatisfied
Giulia,Eurac_14,Bolzano,D3.1.21.01,,61-120 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Productive,Slightly warm,Neither satisfied nor dissatisfied,Satisfied,Slightly fresh,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,3,3,3,3,3,3,3,Satisfied
Giulia,Eurac_14,Bolzano,D3.1.21.01,,3-30 minutes,1 (just me),"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Productive,Hot,Very dissatisfied,Satisfied,Fresh,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,3,3,3,3,3,3,3,3,3,Satisfied
Giulia,Eurac_14,Bolzano,D3.1.21.01,,61-120 minutes,2,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Slighlty productive,Slightly warm,Slightly dissatisfied,Satisfied,Fresh,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,4,3,3,3,3,3,3,3,3,3,Neither satisfied nor dissatisfied
Giulia,Eurac_13,Bolzano,D3.1.21.04,,61-120 minutes,3,"Heavy (e.g., underwear, shirt, trousers, socks, shoes)",Bad,Productive,Slightly warm,Very satisfied,Neither satisfied nor dissatisfied,Slightly stale,0 Not available,0 Not available,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,2,5,1,2,3,1,2,1,3,Satisfied
Giulia,Eurac_14,Bolzano,D3.1.21.01,,3-30 minutes,3,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Neither unproductive nor productive,Warm,Very dissatisfied,Very satisfied,Fresh,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,4,3,3,4,2,2,2,2,4,2,Slightly satisfied
Giulia,Eurac_13,Bolzano,D3.1.21.04,,31-60 minutes,1 (just me),"Heavy (e.g., underwear, shirt, trousers, socks, shoes)",Neutral,Very unproductive,Slightly warm,Satisfied,Satisfied,Neutral,0 Not available,0 Not available,1 Not at all,1 Not at all,1 Not at all,1 Not at all,,3,1,4,1,1,4,1,4,2,3,Satisfied
Giulia,Eurac_13,Bolzano,D3.1.21.04,,31-60 minutes,2,"Medium (e.g., underpants, shirt with short sleeves, light trousers, light socks, shoes)",Neutral,Slightly unproductive,Cool,Dissatisfied,Satisfied,Neutral,0 Not available,0 Not available,1 Not at all,1 Not at all,1 Not at all,2,,3,2,4,1,2,4,1,4,2,3,Satisfied
